iter	Passed	Remaining
0	247	247259
1	348	173814
2	449	149449
3	549	136920
4	647	128887
5	742	122939
6	834	118414
7	927	115023
8	1022	112561
9	1115	110429
10	1211	108928
11	1304	107435
12	1393	105825
13	1487	104743
14	1579	103748
15	1665	102438
16	1751	101273
17	1845	100675
18	1939	100131
19	2031	99521
20	2129	99272
21	2222	98804
22	2332	99094
23	2425	98619
24	2510	97893
25	2595	97231
26	2670	96254
27	2757	95741
28	2840	95097
29	2924	94544
30	3000	93787
31	3091	93524
32	3191	93508
33	3271	92948
34	3359	92621
35	3450	92400
36	3537	92062
37	3615	91528
38	3704	91287
39	3791	91003
40	3873	90596
41	3963	90410
42	4064	90459
43	4148	90126
44	4225	89670
45	4303	89247
46	4391	89043
47	4475	88765
48	4559	88499
49	4654	88431
50	4743	88259
51	4825	87970
52	4903	87613
53	4984	87326
54	5068	87079
55	5179	87315
56	5289	87507
57	5380	87382
58	5471	87269
59	5554	87015
60	5638	86791
61	5716	86492
62	5792	86151
63	5870	85861
64	5973	85929
65	6088	86156
66	6182	86092
67	6269	85924
68	6351	85695
69	6428	85406
70	6514	85238
71	6600	85072
72	6675	84770
73	6754	84518
74	6836	84314
75	6918	84112
76	6995	83857
77	7079	83683
78	7157	83439
79	7235	83205
80	7317	83025
81	7392	82757
82	7476	82600
83	7554	82375
84	7633	82167
85	7707	81911
86	7788	81735
87	7868	81551
88	7953	81414
89	8033	81227
90	8114	81053
91	8187	80805
92	8274	80701
93	8365	80630
94	8453	80527
95	8534	80370
96	8615	80203
97	8698	80062
98	8774	79854
99	8849	79648
100	8923	79423
101	9006	79292
102	9097	79224
103	9178	79073
104	9255	78890
105	9330	78691
106	9403	78483
107	9486	78348
108	9559	78142
109	9638	77987
110	9714	77802
111	9788	77606
112	9862	77418
113	9939	77251
114	10018	77101
115	10092	76913
116	10167	76731
117	10244	76572
118	10322	76417
119	10402	76283
120	10483	76157
121	10563	76021
122	10641	75876
123	10721	75739
124	10797	75582
125	10873	75424
126	10950	75276
127	11027	75127
128	11103	74971
129	11186	74866
130	11265	74733
131	11347	74617
132	11424	74473
133	11503	74340
134	11577	74184
135	11657	74057
136	11735	73925
137	11810	73770
138	11883	73609
139	11963	73487
140	12044	73375
141	12123	73254
142	12201	73123
143	12279	72993
144	12358	72872
145	12436	72742
146	12510	72596
147	12588	72470
148	12665	72340
149	12746	72227
150	12825	72111
151	12898	71962
152	12975	71833
153	13056	71725
154	13138	71628
155	13219	71518
156	13296	71392
157	13370	71251
158	13453	71159
159	13532	71043
160	13607	70909
161	13691	70822
162	13767	70695
163	13847	70586
164	13930	70497
165	14009	70387
166	14095	70310
167	14175	70201
168	14250	70074
169	14330	69967
170	14407	69849
171	14485	69731
172	14569	69647
173	14648	69540
174	14723	69408
175	14801	69299
176	14883	69204
177	14961	69091
178	15046	69011
179	15124	68902
180	15208	68814
181	15286	68703
182	15376	68646
183	15448	68512
184	15526	68402
185	15605	68295
186	15684	68191
187	15764	68090
188	15846	67999
189	15925	67892
190	16003	67783
191	16085	67693
192	16162	67582
193	16240	67471
194	16323	67385
195	16402	67282
196	16481	67181
197	16559	67072
198	16637	66969
199	16721	66887
200	16798	66774
201	16888	66717
202	16979	66662
203	17056	66553
204	17136	66457
205	17220	66375
206	17297	66264
207	17384	66194
208	17468	66113
209	17546	66006
210	17625	65909
211	17705	65812
212	17788	65725
213	17867	65626
214	17954	65556
215	18036	65467
216	18121	65387
217	18209	65318
218	18291	65232
219	18378	65161
220	18460	65071
221	18539	64970
222	18616	64865
223	18698	64777
224	18777	64678
225	18857	64581
226	18934	64476
227	19020	64402
228	19098	64300
229	19174	64193
230	19253	64096
231	19341	64026
232	19419	63925
233	19499	63831
234	19578	63735
235	19662	63654
236	19745	63568
237	19822	63465
238	19899	63361
239	19977	63262
240	20053	63157
241	20135	63069
242	20223	63002
243	20307	62918
244	20389	62832
245	20469	62740
246	20545	62635
247	20625	62542
248	20708	62457
249	20788	62364
250	20863	62259
251	20952	62192
252	21027	62084
253	21106	61990
254	21184	61893
255	21266	61805
256	21344	61709
257	21425	61618
258	21509	61538
259	21585	61434
260	21667	61350
261	21752	61272
262	21835	61188
263	21914	61094
264	21995	61006
265	22075	60913
266	22152	60816
267	22233	60727
268	22314	60639
269	22395	60550
270	22485	60485
271	22566	60397
272	22643	60299
273	22722	60205
274	22802	60115
275	22882	60024
276	22962	59933
277	23050	59866
278	23129	59770
279	23216	59699
280	23297	59612
281	23376	59518
282	23452	59417
283	23534	59334
284	23620	59257
285	23697	59159
286	23778	59073
287	23853	58970
288	23932	58878
289	24010	58783
290	24096	58710
291	24179	58627
292	24261	58541
293	24344	58460
294	24423	58368
295	24507	58287
296	24593	58212
297	24678	58134
298	24761	58052
299	24840	57960
300	24919	57870
301	25015	57817
302	25101	57741
303	25180	57649
304	25263	57566
305	25345	57483
306	25424	57392
307	25505	57305
308	25592	57230
309	25670	57136
310	25749	57046
311	25830	56959
312	25911	56873
313	25990	56781
314	26075	56703
315	26161	56627
316	26241	56538
317	26327	56462
318	26404	56368
319	26484	56280
320	26568	56198
321	26650	56114
322	26734	56035
323	26813	55943
324	26896	55862
325	26974	55769
326	27058	55689
327	27139	55603
328	27224	55525
329	27305	55438
330	27387	55354
331	27470	55272
332	27547	55178
333	27625	55086
334	27706	54999
335	27785	54909
336	27869	54829
337	27945	54733
338	28030	54654
339	28109	54565
340	28194	54486
341	28278	54407
342	28369	54340
343	28451	54255
344	28534	54175
345	28618	54093
346	28702	54013
347	28786	53932
348	28874	53860
349	28962	53788
350	29045	53704
351	29143	53650
352	29229	53574
353	29311	53488
354	29400	53417
355	29486	53340
356	29569	53258
357	29648	53168
358	29726	53076
359	29815	53005
360	29901	52928
361	29984	52846
362	30061	52753
363	30141	52665
364	30223	52580
365	30306	52498
366	30389	52415
367	30478	52343
368	30557	52254
369	30639	52170
370	30734	52108
371	30814	52020
372	30894	51932
373	30983	51859
374	31063	51771
375	31144	51686
376	31223	51596
377	31300	51505
378	31384	51423
379	31470	51346
380	31554	51266
381	31630	51172
382	31711	51086
383	31794	51004
